outer_fold,outer_train_count,outer_evaluation_count,outer_train_bad_count,outer_train_explode_count,outer_train_good_count,inner_cross_fitted_count,pass_probability_good_threshold,fail_probability_fail_threshold,calibration_false_escape_count,calibration_false_reject_count,calibration_review_rate,calibration_auto_coverage,thresholds_create_overlap_review_zone,outer_raw_failure_brier,outer_calibrated_failure_brier,range_flag_rate,mahalanobis_flag_rate,combined_ood_flag_rate,mahalanobis_distance_threshold
1,314,79,13,20,281,314,0.9684448417522019,0.6483989643916256,0,0,0.8662420382165605,0.1337579617834395,False,0.08743606663143065,0.0668221947911482,0.0379746835443038,0.0379746835443038,0.06329113924050633,5.806749667051168
2,314,79,13,20,281,314,0.9636029991363002,0.5732971203147535,0,0,0.7866242038216561,0.21337579617834396,False,0.07874671951928544,0.06260622103394742,0.0379746835443038,0.0379746835443038,0.05063291139240506,5.797883774611968
3,314,79,14,20,280,314,0.963837291051891,0.6254091319493346,0,0,0.964968152866242,0.03503184713375796,False,0.06247288584406383,0.05017148084560839,0.012658227848101266,0.0379746835443038,0.05063291139240506,5.542059401266124
4,315,78,14,20,281,315,0.9597281579652571,0.4342629915682729,0,0,0.8603174603174604,0.13968253968253969,False,0.07601571371958056,0.0649370628839101,0.038461538461538464,0.02564102564102564,0.05128205128205128,5.739317976054428
5,315,78,14,20,281,315,0.9600876803717303,0.5036582252577105,0,0,0.9619047619047619,0.0380952380952381,False,0.06200146843710186,0.057457498045378835,0.0,0.01282051282051282,0.01282051282051282,5.6822615427468515
