faying_fraction,voltage_v,terminal_power_w,sheet_source_power_w,internal_contact_power_w,boundary_contact_power_w
0.05,0.08360600146548978,250.8180043964694,153.45184852311795,10.249069039300196,194.73231174670315
0.1,0.08360600146548965,250.81800439646898,158.5763830427672,20.498138078600185,184.48324270740304
0.15,0.0836060014654899,250.8180043964697,163.7009175624188,30.747207117901095,174.2341736681028
0.2,0.08360600146548987,250.8180043964696,168.8254520820687,40.996276157201244,163.98510462880267
0.25,0.08360600146548997,250.81800439646983,173.94998660171944,51.24534519650174,153.73603558950242
0.3,0.08360600146548947,250.8180043964684,179.0745211213665,61.49441423579996,143.48696655020228
0.35,0.08360600146549003,250.81800439647003,184.19905564101998,71.74348327510248,133.2378975109021
0.39999999999999997,0.08360600146548959,250.81800439646878,189.32359016066738,81.9925523144007,122.98882847160199
0.44999999999999996,0.0836060014654899,250.81800439646972,194.44812468031927,92.24162135370229,112.73975943230187
0.49999999999999994,0.08360600146548997,250.81800439646997,199.5726591999698,102.49069039300284,102.49069039300171
0.5499999999999999,0.08360600146549034,250.81800439647108,204.69719371962208,112.73975943230471,92.24162135370156
0.6,0.08360600146548929,250.81800439646784,209.82172823926587,122.9888284715996,81.99255231440134
0.65,0.08360600146549003,250.81800439647006,214.94626275892048,133.23789751090376,71.74348327510113
0.7,0.0836060014654898,250.81800439646923,220.07079727856913,143.48696655020277,61.494414235800924
0.75,0.08360600146549034,250.8180043964709,225.19533179822247,153.73603558950578,51.24534519650078
0.7999999999999999,0.0836060014654898,250.8180043964691,230.3198663178693,163.98510462880313,40.99627615720058
0.85,0.0836060014654898,250.81800439646918,235.4444008375194,174.23417366810335,30.74720711790045
0.9,0.08360600146548974,250.81800439646955,240.5689353571691,184.48324270740284,20.498138078600384
0.95,0.08360600146549017,250.8180043964703,245.6934698768218,194.73231174670565,10.249069039300155
