scenario,force_n,maximum_temperature_k,maximum_liquid_fraction,terminal_energy_j,maximum_active_voltage_v,initial_center_faying_resistivity_ohm_m2,final_active_center_faying_resistivity_ohm_m2,contact_fraction_of_terminal_energy,electrode_absorbed_energy_j,max_current_conservation_relative_error,max_target_current_relative_error,max_electrical_power_balance_relative_error,max_terminal_partition_energy_relative_gap,max_electrical_thermal_source_relative_gap,max_thermal_energy_balance_relative_error,maximum_nonlinear_iterations
low_force,2000.0,1282.2745410402788,0.0,168.161099130279,0.9198242393130287,1.3251616185647111e-09,1.8970316046310647e-09,0.8949891363788074,29.760584118515116,3.232204247838654e-13,1.049416963584148e-15,6.745997624280908e-14,1.3200031834503872e-14,2.55925574963678e-16,3.3884137321440217e-15,1
nominal_force,3500.0,1034.1114862118447,0.0,128.252272953498,0.6933945314630061,1.0017280256257313e-09,1.3593593512388138e-09,0.8875001511311287,23.59671010722956,2.1215712947123936e-13,6.996113090560986e-16,5.1541672565979385e-14,2.1521480294230484e-14,1.17944605185172e-16,4.073607076981687e-15,1
high_force,5000.0,911.4653263154082,0.0,108.38326406345044,0.5798736608448444,8.381057964999515e-10,1.1022143894060766e-09,0.8812603785969867,20.372576962291216,3.0573014205746814e-13,8.745141363201234e-16,8.0733152371157e-14,1.2965425741395118e-14,1.7962522575436505e-16,4.359619154767425e-15,1
