experiment_id,variant,model,selected_epoch,split,sample_count,normalized_mse,field_nrmse,tmax_mae_k,worst_5pct_tmax_mae_k,negative_temperature_rise_fraction,p50_latency_ms,p95_latency_ms,peak_gpu_memory_mb,parameter_count,checkpoint
E05_1_overfit_64,data_only,fno3d,1,train_overfit,64,0.9811649210751057,0.753412591149292,179.0181908607483,505.6214065551758,0.0,,,,1771393,projects/rsw_quality_digital_twin/artifacts/m5_1_path_check/data_only/last.ckpt
E05_1_overfit_64,plus_thermal_residual,fno3d,1,train_overfit,64,0.9883094355463982,0.7561506888833337,184.47309255599976,512.025146484375,0.0,,,,1771393,projects/rsw_quality_digital_twin/artifacts/m5_1_path_check/plus_thermal_residual/last.ckpt
