scenario,maximum_temperature_k,maximum_liquid_fraction,mushy_diameter_proxy_mm,final_terminal_energy_j,maximum_active_voltage_v,maximum_active_power_w,maximum_electrical_evaluation_temperature_k,temperature_inside_curve,max_current_conservation_relative_error,max_target_current_relative_error,max_terminal_source_energy_relative_gap,max_energy_balance_relative_error,max_nonlinear_residual_relative_norm,maximum_nonlinear_iterations
early_rise,1774.968085207334,0.24027880025289897,3.0,462.9943020488601,4.610731097704116,26281.167256913464,1774.968085207334,True,6.382418959810002e-15,2.233846635933508e-15,1.3012985286265667e-16,1.6916880872145367e-15,2.984872123973716e-10,11
linear,1774.5411810158498,0.22555796606378675,3.0,458.4344284561831,4.536531450079275,25858.229265451868,1774.5411810158498,True,6.541979433805257e-15,2.552967583924009e-15,1.3012985286265667e-16,1.6916880872145367e-15,7.2779101777931e-10,7
late_rise,1774.2261870416476,0.21469610488439872,3.0,453.8029350005217,4.4636386937374715,25442.740554303586,1774.2261870416476,True,1.1328793653662722e-14,2.0742861619382572e-15,1.3012985286265667e-16,2.0041622290783172e-15,7.311752231039997e-10,7
