scenario,maximum_temperature_k,maximum_liquid_fraction,mushy_diameter_proxy_mm,maximum_active_voltage_v,terminal_energy_j,bulk_energy_j,internal_contact_energy_j,boundary_contact_energy_j,electrode_absorbed_energy_j,contact_fraction_of_terminal_energy,sheet_source_energy_j,temperature_inside_bulk_curve,max_current_conservation_relative_error,max_target_current_relative_error,max_electrical_power_balance_relative_error,max_terminal_partition_energy_relative_gap,max_electrical_thermal_source_relative_gap,max_thermal_energy_balance_relative_error,maximum_nonlinear_iterations
low,807.1271134638408,0.0,0.0,0.4155781236429715,96.72509134152654,17.827861100020826,44.27416739135172,34.623062850154255,17.311531425077128,0.81568524926927,79.4135599164497,True,1.4705512457124907e-13,8.533179375508318e-16,3.17329848877694e-14,5.360279100939783e-15,2.2145529487001104e-16,5.368423754137121e-15,1
nominal,1288.799668676904,0.0,0.0,0.8228484627226473,186.8488418547419,29.512875115854534,88.51324809182826,68.8227186470597,34.41135932352986,0.8420494618917814,152.43748253121265,True,1.8772994626116539e-13,8.533179375508318e-16,4.4564842702568383e-14,2.7696360357304598e-14,2.1724042419771185e-16,3.26284524496938e-15,1
high,1768.1797310865688,0.006197623674787447,1.0,1.2164835318003568,277.0114497918252,41.38847264194901,132.46117069714325,103.16180645273195,51.58090322636597,0.8505893071457749,225.43054656545823,True,4.824090740286203e-13,8.533179375508318e-16,1.4469655650880233e-13,4.065965221860758e-14,2.5957015756081266e-16,2.5215490858202042e-15,5
