task,task_type,model,train_samples,validation_samples,mae,rmse,median_absolute_error,r2,bias,target_stack_validation_samples,target_stack_mae,target_stack_rmse,accuracy,balanced_accuracy,macro_f1,class_counts,all_classes_present,per_class_recall,confusion_matrix,target_stack_balanced_accuracy,target_stack_macro_f1,target_stack_class_counts,target_stack_all_classes_present
nugget_diameter_mm,regression,mean,315,78,0.2949694749694749,0.4151031424049068,0.18396825396825323,-9.13958691428629e-05,0.003968253968253322,70,0.24047845804988652,0.33421310581839997,,,,,,,,,,,
nugget_diameter_mm,regression,ridge,315,78,0.2504834126822574,0.3559464982789703,0.17239661319928223,0.26464491765081044,-0.001890588243573178,70,0.2190696788631251,0.30939641223214176,,,,,,,,,,,
nugget_diameter_mm,regression,random_forest,315,78,0.23236452485799428,0.32811247163993496,0.138059981670261,0.3751538108816106,-0.021703170121783338,70,0.21051235500664184,0.2947294404467242,,,,,,,,,,,
pull_test_n,regression,mean,313,78,301.8433275989187,553.8257359154252,170.44999999999982,-0.006583936962467174,-44.79102154501491,70,191.41963486992248,264.40948443889204,,,,,,,,,,,
pull_test_n,regression,ridge,313,78,217.59416341975222,370.80769653950244,132.66837300105294,0.5487666306691947,-37.997963218519985,70,167.13557368986034,254.37062215353453,,,,,,,,,,,
pull_test_n,regression,random_forest,313,78,174.15030393593298,310.8432339497482,94.39008055063664,0.6829070645834019,14.143202315114968,70,143.9229970701436,269.2714314786527,,,,,,,,,,,
category,classification,prior,315,78,,,,,,70,,,0.8974358974358975,0.3333333333333333,0.3153153153153153,"{'Bad': 3, 'Explode': 5, 'Good': 70}",True,"{'Bad': 0.0, 'Explode': 0.0, 'Good': 1.0}","[[0, 0, 3], [0, 0, 5], [0, 0, 70]]",0.3333333333333333,0.32098765432098764,"{'Bad': 1, 'Explode': 4, 'Good': 65}",True
category,classification,logistic_balanced,315,78,,,,,,70,,,0.5769230769230769,0.6126984126984126,0.4051754696915988,"{'Bad': 3, 'Explode': 5, 'Good': 70}",True,"{'Bad': 0.6666666666666666, 'Explode': 0.6, 'Good': 0.5714285714285714}","[[2, 0, 1], [1, 3, 1], [7, 23, 40]]",0.3717948717948718,0.3047767393561786,"{'Bad': 1, 'Explode': 4, 'Good': 65}",True
category,classification,random_forest_balanced,315,78,,,,,,70,,,0.9230769230769231,0.6174603174603175,0.6813492063492065,"{'Bad': 3, 'Explode': 5, 'Good': 70}",True,"{'Bad': 0.6666666666666666, 'Explode': 0.2, 'Good': 0.9857142857142858}","[[2, 0, 1], [0, 1, 4], [0, 1, 69]]",0.3282051282051282,0.31840796019900497,"{'Bad': 1, 'Explode': 4, 'Good': 65}",True
