epoch,train_weighted_bce,validation_pr_auc,validation_fault_recall_at_0p5,validation_brier_score
1,1.3389491703199303,0.07958231150419467,0.0,0.22577982593642285
2,1.331256091421929,0.22542943910122126,0.0,0.23382407926635712
3,1.3268749969592992,0.18452840743482601,0.0,0.23828482432964754
4,1.3238238894421122,0.1823323618104704,0.8333333333333334,0.2455598289991715
5,1.3182409231213557,0.18503959010859375,0.8333333333333334,0.24956560691089066
6,1.3139931167381398,0.18269524452357708,0.8333333333333334,0.25203153314983023
7,1.3098844932473224,0.18335789116171045,1.0,0.2671341711960418
8,1.3022274155547653,0.22249840603522283,0.8333333333333334,0.2634092049731586
9,1.2948832805605903,0.22753053004187898,0.8333333333333334,0.2549027667487154
10,1.2893014907836915,0.22898654934841592,0.8333333333333334,0.254545348534456
11,1.272120091535043,0.2295619673925392,0.8333333333333334,0.23057472153813743
12,1.2659329925758251,0.228896891846469,0.8333333333333334,0.22750469956509126
13,1.2486770495124486,0.2276597580251011,0.8333333333333334,0.23241223280823078
14,1.2358521413112031,0.23084456453523206,0.8333333333333334,0.23795063157704854
15,1.2284601256467294,0.22979417882354217,0.8333333333333334,0.21932929281320213
16,1.2334818235342053,0.2216658512021768,0.8333333333333334,0.2512208162209865
17,1.2123240108075348,0.2210356811486463,0.6666666666666666,0.19774754203274134
18,1.2043603840081587,0.22086003000138768,0.8333333333333334,0.2226674233575567
19,1.193900538181913,0.2229517227330653,0.8333333333333334,0.21944084552697418
20,1.1895722499792127,0.22322731223996536,0.8333333333333334,0.20859182503538007
21,1.183330598430357,0.2233297703710584,0.8333333333333334,0.2289551938776671
22,1.177744776442431,0.2240957261109348,0.8333333333333334,0.2088989036752241
23,1.1732166860414588,0.22252680646478729,0.75,0.20344831634227017
24,1.1666959603627522,0.2235053110875479,0.75,0.19889118805371037
25,1.1692814515984578,0.22440809918807825,0.8333333333333334,0.23093657635547174
26,1.1669812945352085,0.2208021426619614,0.8333333333333334,0.21440410486718608
27,1.1646359495494676,0.22000849186831062,0.8333333333333334,0.21671386877930976
28,1.1638655462126801,0.22457153348046927,0.75,0.19205554717513065
29,1.1689788483191228,0.22326658757134948,0.8333333333333334,0.21415598725706975
30,1.1666332448738208,0.21745426188033457,0.8333333333333334,0.23009680003734465
31,1.154000907358916,0.16579487941017856,0.5,0.1714186574877485
32,1.172478244961172,0.21395549101222824,0.8333333333333334,0.22575006481481344
33,1.156989488394364,0.2077185636516425,0.75,0.2052499971660821
34,1.1568458135577215,0.20777322475281526,0.8333333333333334,0.20723384989822344
35,1.1564302582671677,0.2096615148041574,0.75,0.19666795254985858
36,1.1595325635827105,0.20869650907350223,0.8333333333333334,0.2159112910073417
37,1.1626394112904868,0.2093846927276721,0.75,0.1961398021172578
38,1.1595892249674038,0.20951350253755452,0.8333333333333334,0.22096203616774016
39,1.1538868448008661,0.20872593119934538,0.75,0.2012998516117777
40,1.1562575395556465,0.20872593119934538,0.75,0.19673391113205013
