feature,importance
voltage_q25,0.036568474299994366
voltage_end_minus_start,0.03442750864684499
voltage_last,0.03441610970973122
voltage_linear_slope_per_valid_step,0.03375692251062356
current_standard_deviation,0.03329415621424969
current_mean,0.03315682380914129
voltage_median,0.03136336752512929
current_q25,0.030765797087053896
current_early_mean,0.02726622051647598
current_first,0.02589348078761632
current_rms,0.02567409488713697
current_median,0.025388242648388806
voltage_middle_mean,0.02429363043488225
voltage_q10,0.02347049234920679
current_last,0.02274676002061816
current_q75,0.02256734082273209
current_middle_mean,0.021558043195760518
current_late_mean,0.020453008332986532
voltage_early_mean,0.01975214720546816
voltage_mean,0.019396916155289906
current_q10,0.018275104869934767
force_late_mean,0.01786619808198283
current_derivative_absolute_mean,0.01698916713518963
current_peak_position_fraction,0.016461270131091898
voltage_q75,0.015407622217672468
force_mean,0.015334143081208845
current_maximum,0.015274511692953801
voltage_rms,0.015049901850710246
current_derivative_absolute_maximum,0.014961711845898912
current_end_minus_start,0.014736872473635294
force_rms,0.014460102293575616
current_length_fraction,0.014263551828439707
voltage_length_fraction,0.014106599306134192
force_standard_deviation,0.013522539239471552
current_q90,0.013364139802748953
current_derivative_standard_deviation,0.012852574941267339
voltage_peak_position_fraction,0.012764113742178985
voltage_derivative_absolute_mean,0.012401186851247012
voltage_late_mean,0.01224579169837211
voltage_derivative_absolute_maximum,0.012131762219221031
force_peak_position_fraction,0.011812274197017532
voltage_derivative_standard_deviation,0.010958814902372523
force_linear_slope_per_valid_step,0.010721662523179519
voltage_first,0.010529945919997057
force_length_fraction,0.01024488326900853
current_trough_position_fraction,0.010005215111817668
current_linear_slope_per_valid_step,0.009940683243168878
voltage_standard_deviation,0.009179932680706895
voltage_maximum,0.00898516331359588
force_derivative_standard_deviation,0.008769597326818446
force_early_mean,0.008667360325477918
force_middle_mean,0.007608347584661974
voltage_q90,0.007256857769837077
voltage_trough_position_fraction,0.0050908952329648885
force_derivative_absolute_mean,0.005082715487937765
force_maximum,0.004318680242483389
force_trough_position_fraction,0.00403417826525013
force_derivative_absolute_maximum,0.003753599030362498
force_end_minus_start,0.0033098810789833027
force_q90,0.0028244850196340447
force_q25,0.0027846604506156724
force_last,0.0021402191747473985
force_q75,0.0013047166061474866
force_q10,0.001195939643922388
force_median,0.0006747312784571144
force_first,0.00012615785856801728
voltage_minimum,0.0
current_minimum,0.0
force_minimum,0.0
